batch,method,seed,test_accuracy,pseudo_precision,pseudo_coverage,agreement,parameter_change,training_loss,ewc_lambda,threshold
-1,centroid_ewc,0,0.9321,,,,0.0,,50.0,0.9
0,centroid_ewc,0,0.9321,,0.0,0.9765625,0.0,,50.0,0.9
1,centroid_ewc,0,0.9321,,0.0,0.9921875,0.0,,50.0,0.9
2,centroid_ewc,0,0.9321,,0.0,0.9609375,0.0,,50.0,0.9
3,centroid_ewc,0,0.9321,,0.0,0.921875,0.0,,50.0,0.9
4,centroid_ewc,0,0.9321,,0.0,0.9609375,0.0,,50.0,0.9
5,centroid_ewc,0,0.9321,,0.0,0.9453125,0.0,,50.0,0.9
6,centroid_ewc,0,0.9321,,0.0,0.95703125,0.0,,50.0,0.9
7,centroid_ewc,0,0.9321,,0.0,0.95703125,0.0,,50.0,0.9
8,centroid_ewc,0,0.9321,,0.0,0.94140625,0.0,,50.0,0.9
9,centroid_ewc,0,0.9321,,0.0,0.95703125,0.0,,50.0,0.9
10,centroid_ewc,0,0.9321,,0.0,0.98046875,0.0,,50.0,0.9
11,centroid_ewc,0,0.9321,,0.0,0.97265625,0.0,,50.0,0.9
12,centroid_ewc,0,0.9321,,0.0,0.953125,0.0,,50.0,0.9
13,centroid_ewc,0,0.9321,,0.0,0.9609375,0.0,,50.0,0.9
14,centroid_ewc,0,0.9321,,0.0,0.95703125,0.0,,50.0,0.9
15,centroid_ewc,0,0.9321,,0.0,0.96875,0.0,,50.0,0.9
16,centroid_ewc,0,0.9321,,0.0,0.953125,0.0,,50.0,0.9
17,centroid_ewc,0,0.9321,,0.0,0.97265625,0.0,,50.0,0.9
18,centroid_ewc,0,0.9321,,0.0,0.95703125,0.0,,50.0,0.9
19,centroid_ewc,0,0.9321,,0.0,0.953125,0.0,,50.0,0.9
